WATER,TOWN,COUNTY,X_coord,Y_coord
MICHAUD P,Fort Kent,Aroostook,-68.6301634452,47.2114027712
CORBIN P,Grand Isle,Aroostook,-68.16811500787063,47.25794649726515
MATTAWAMKEAG R,Haynesville,Aroostook,-67.99638087006802,45.8361713403225
HODGDON DEADWATER,Hodgdon,Aroostook,-67.8705911281,46.0434541344
STEWART P,Hodgdon,Aroostook,-67.8807271446,46.0485690366
CHURCH ON THE HILL P,Houlton,Aroostook,-67.83899004895781,46.1263443201712
LOGAN L,Houlton,Aroostook,-67.8491357911,46.1852108093
PLEASANT L,Island Falls,Aroostook,-68.183442248,46.0216627695
ROCK CRUSHER P,Island Falls,Aroostook,-68.2908822361,46.0341227221
DUREPO L,Limestone,Aroostook,-67.8481185393,46.9462890617
LIMESTONE STREAM,Limestone,Aroostook,-67.8249039107,46.9144627251
TRAFTON L,Limestone,Aroostook,-67.8384186699,46.8853078887
DREWS (MEDUXNEKEAG) L,Linneus,Aroostook,-68.0304967319,46.095602931
MUD P,Linneus,Aroostook,-68.0060918294,46.0391409731
CARRY L,Littleton,Aroostook,-67.8658295977,46.2200094837
DEEP L #1,Littleton,Aroostook,-67.8649728676,46.2118034168
HANSON BROOK L,Mapleton,Aroostook,-68.0607011979,46.7062563814
MOLUNKUS L,Molunkus Twp,Aroostook,-68.3113876982,45.6678976597
CONROY L,Monticello,Aroostook,-67.8759678815,46.2893284083
MEDUXNEKEAG R (NORTH BRANCH),Monticello,Aroostook,-67.89131874475157,46.3130220330979
HALE P,Moro Plt,Aroostook,-68.3996367511,46.1373772248
ROCKABEMA L,Moro Plt,Aroostook,-68.3782860276,46.1822616407
DAIGLE P,New Canada,Aroostook,-68.4683365386,47.1898377757
SLY BROOK L (THIRD),New Canada,Aroostook,-68.5046142323,47.1141475045
NICKERSON L,New Limerick,Aroostook,-67.9257011444,46.0999297045
MATTAWAMKEAG R (EAST BRANCH),Oakfield,Aroostook,-68.15588900241559,46.04438978560175
SPAULDING L,Oakfield,Aroostook,-68.1037237,46.10655639
TIMONEY L,Oakfield,Aroostook,-68.081292643,46.1203035823
GRAND L (EAST),Orient,Aroostook,-67.8043959001,45.735403458
ARNOLD BROOK L,Presque Isle,Aroostook,-68.0282840497,46.6512445798
ECHO L,Presque Isle,Aroostook,-68.006927148,46.6189085314
MANTLE L,Presque Isle,Aroostook,-68.0012198294,46.6712505033
HANNINGTON P,Reed Plt,Aroostook,-68.0742288275,45.6467038754
BLACK P,Saint John Plt,Aroostook,-68.7260221619,47.1684753898
SCOPAN L,Squapan Twp,Aroostook,-68.2278220404,46.5352065968
MCNALLY P (UPPER),T11 R10 WELS,Aroostook,-69.0096319386,46.6286201717
MUSQUACOOK L (2ND),T11 R11 WELS,Aroostook,-69.178441,46.634721
UMSASKIS L,T11 R13 WELS,Aroostook,-69.385476,46.596243
SCOPAN L,T11 R4 WELS,Aroostook,-68.810551709,46.623980146
ROUND MOUNTAIN P,T11 R8 WELS,Aroostook,-68.7886785437,46.6021139929
ROWE L,T11 R8 WELS,Aroostook,-68.810551709,46.623980146
UGH L,T12 R14 WELS,Aroostook,-69.5559211845,46.7393428461
ISLAND P,T14 R8 WELS,Aroostook,-68.7326210457,46.8889940441
BEAVER TAIL P,T14 R9 WELS,Aroostook,-68.9504744437,46.9019579438
BLACK P (LITTLE SO),T15 R9 WELS,Aroostook,-68.8475888248,46.9713856695
TOGUE P,T15 R9 WELS,Aroostook,-68.8930688866,46.934147119
BLACK P,T15R9 WELS,Aroostook,-68.839522,46.974063
DEBOULLIE P,T15R9 WELS,Aroostook,-68.855618,46.965112
GARDNER P,T15R9 WELS,Aroostook,-68.885971,46.96096
PUSHINEER P,T15R9 WELS,Aroostook,-68.841245,46.960786
MADAWASKA L,T16 R4 WELS,Aroostook,-68.2913138095,47.153729898
CROSS L,T16 R5 WELS,Aroostook,-69.0515626581,47.2716414208
FOX P,T17 R12 WELS,Aroostook,-69.2862249985,47.1648795565
LONG L,T17 R4 WELS,Aroostook,-69.3775629273,46.6523813893
GLAZIER L,T18 R10 WELS,Aroostook,-69.0072125737,47.2295348991
BEAU L,T19 R11 WELS,Aroostook,-69.0562667009,47.3393782524
RIDEOUT P,T19 R12 WELS,Aroostook,-69.2918423413,47.2960630833
MATTAWAMKEAG L,T4 R3 WELS,Aroostook,-68.5800390229,46.3657169204
UMCOLCUS L,T7 R5 WELS,Aroostook,-68.435893097,46.2881421719
NUMBER NINE L,T9 R3 WELS,Aroostook,-68.0474902781,46.4164303114
MEDUXNEKEAG R (NORTH BRANCH),TC R2 WELS,Aroostook,-67.94599229263635,46.38994248001437
DEERING L,Weston,Aroostook,-67.8502556219,45.7646253556
FAULKNER L,Weston,Aroostook,-67.8897618531,45.7711873366
GRAND L (EAST),Weston,Aroostook,-67.8043959001,45.735403458
SACO R,Baldwin,Cumberland,-70.79337576175377,43.84251944887719
SAND P,Baldwin,Cumberland,-70.6815504531,43.8194439322
ADAMS P,Bridgton,Cumberland,-70.7116704243,43.9950088572
HIGHLAND L,Bridgton,Cumberland,-70.7383533774,44.0798644579
LONG L,Bridgton,Cumberland,-70.68141499169103,44.062137920203384
MOOSE P,Bridgton,Cumberland,-70.7959922105,44.0417106725
STEVENS B,Bridgton,Cumberland,-70.686362784,43.966052611
WILLETT B,Bridgton,Cumberland,-70.7383533774,44.0798644579
WOOD P,Bridgton,Cumberland,-70.735981787,44.0334071329
COFFIN P,Brunswick,Cumberland,-69.957519278,43.8974188891
COFFEE P,Casco,Cumberland,-70.4984066636,43.9768017686
PARKER P,Casco,Cumberland,-70.5159102194,43.9945854429
SONGO R,Casco,Cumberland,-70.5745032788899,43.93073094035069
THOMAS P,Casco,Cumberland,-70.4788844519,44.0189526601
PISCATAQUA R,Cumberland,Cumberland,-70.31238227475706,43.796087584599505
PISCATAQUA R,Falmouth,Cumberland,-70.29942618794348,43.75182273650571
ALDEN'S P,Gorham,Cumberland,-70.45407311263993,43.68225164153582
LITTLE R,Gorham,Cumberland,-70.43077021380056,43.712056024405555
LITTLE R (NORTH BRANCH),Gorham,Cumberland,-70.50874859448763,43.74247097448363
COLLYER B,Gray,Cumberland,-70.30271268141354,43.90590672232054
CRYSTAL L (DRY P),Gray,Cumberland,-70.358117409,43.9293948213
CRYSTAL (ANONYMOUS) P,Harrison,Cumberland,-70.6723693605,44.1261106535
ISLAND P,Harrison,Cumberland,-70.6427176294,44.1605087146
LONG L,Harrison,Cumberland,-70.6554165682,44.0371785914
COLD RAIN P,Naples,Cumberland,-70.657577531,43.9306196883
LONG L,Naples,Cumberland,-70.60545378212855,43.974106234019175
MUDDY R,Naples,Cumberland,-70.64133986122727,43.96165264808945
TRICKEY P,Naples,Cumberland,-70.6076290921,43.9403673838
BRANDY B,New Gloucester,Cumberland,-70.30438023529283,43.961887064897894
LILY P,New Gloucester,Cumberland,-70.3167292785,43.9827134057
PINELAND P,New Gloucester,Cumberland,-70.2532093125,43.9022477538
ROYAL R,New Gloucester,Cumberland,-70.3167292785,43.9827134057
SABBATHDAY L,New Gloucester,Cumberland,-70.3542643237,43.9780003425
STEVENS B,New Gloucester,Cumberland,-70.3408572376,43.9604528992
CHANDLER B,North Yarmouth,Cumberland,-70.22025628506549,43.87608331421369
ROYAL R,North Yarmouth,Cumberland,-70.22792806175256,43.8594753301982
CHANDLER B,Pownal,Cumberland,-70.19772813370281,43.88821760305896
CHANDLER B (EAST BRANCH),Pownal,Cumberland,-70.14872987593685,43.893575696050654
CRESCENT L,Raymond,Cumberland,-70.4575332605,43.9754861526
JORDAN R,Raymond,Cumberland,-70.46205177119016,43.89688671354856
NUBBLE P,Raymond,Cumberland,-70.4758179658,43.9535892979
PANTHER P,Raymond,Cumberland,-70.4647569149,43.9281879433
SEBAGO L,Raymond,Cumberland,-70.53988429728061,43.88385982345409
NONESUCH R,Scarborough,Cumberland,-70.34725097312432,43.56910342129501
BARKER P,Sebago,Cumberland,-70.7554593378,43.8943718073
NORTHWEST R,Sebago,Cumberland,-70.69029351587949,43.92654586338011
PEABODY P,Sebago,Cumberland,-70.6878345674,43.9449007116
SEBAGO L,Sebago,Cumberland,-70.599172,43.870823
HINKLEY P (LOWER),South Portland,Cumberland,-70.2552833884,43.6270999971
HINKLEY P (UPPER),South Portland,Cumberland,-70.2572095627,43.6248816254
OTTER P #2,Standish,Cumberland,-70.5118583489,43.7631873001
OTTER P #4,Standish,Cumberland,-70.5118583489,43.7631873001
SACO R,Standish,Cumberland,-70.65293602526646,43.73234720712602
BEAVER P,Westbrook,Cumberland,-70.3641689388,43.6735137498
MILL B,Westbrook,Cumberland,-70.35199411821263,43.725060684530845
PRESUMPSCOT R,Westbrook,Cumberland,-70.36648187420296,43.67780883987993
CHAFFIN P,Windham,Cumberland,-70.4433516075,43.8484878406
PETTINGILL P,Windham,Cumberland,-70.4463677816,43.8548546067
PLEASANT R,Windham,Cumberland,-70.44757621457344,43.75779293208213
PRESUMPSCOT R,Windham,Cumberland,-70.41072422739504,43.7172514296907
SEBAGO L (LITTLE),Windham,Cumberland,-70.3600115621,43.8083635257
ROYAL R,Yarmouth,Cumberland,-70.18035592386957,43.80101591129432
BLANCHARD P,Alder Stream Twp,Franklin,-70.5975479952,45.2707412785
DEAD R (NORTH BRANCH),Alder Stream Twp,Franklin,-70.67353675975431,45.23867353447548
MOUNT BLUE P,Avon,Franklin,-70.335564136,44.7650090339
SCHOOLHOUSE P,Avon,Franklin,-70.2636589415,44.7739739641
BOUNDARY P,Beattie Twp,Franklin,-70.6782528946,45.5647919948
CARRABASSETT R,Carrabasset Valley,Franklin,-70.2439340436023,45.093751113161275
PODUNK P,Carthage,Franklin,-70.4163711202,44.60090892
WEBB R,Carthage,Franklin,-70.42273442282664,44.6543167670036
BUG EYE P,Chain of Ponds Twp,Franklin,-70.6100302141658,45.309448866603766
CARIBOU BOG,Chain of Ponds Twp,Franklin,-70.7287271256,45.3738724577
CHAIN OF PONDS,Chain of Ponds Twp,Franklin,-70.67177046529035,45.34018467195545
OTTER P,Chain of Ponds Twp,Franklin,-70.7516563332,45.3668408262
EGYPT P,Chesterville,Franklin,-70.1188480711,44.5792386185
NORCROSS P,Chesterville,Franklin,-70.0912853099,44.5140072994
DEAD R (SOUTH BRANCH),Coplin Plt,Franklin,-70.52471193048163,45.08992033653231
DEAD R (SOUTH BRANCH),Dallas Plt,Franklin,-70.54889085597299,44.984720606025746
GULL P,Dallas Plt,Franklin,-70.6277439207,44.9891143973
LOON L,Dallas Plt,Franklin,-70.6458287808,45.0255674662
SADDLEBACK L,Dallas Plt,Franklin,-70.5606460082,44.9702935314
BARNARD P,Eustis,Franklin,-70.5486262568,45.2164571129
MT BLUE HIGH SCHOOL P,Farmington,Franklin,-70.13521343979528,44.64103451598231
SANDY R,Farmington,Franklin,-70.1599817935336,44.67272741441586
TEMPLE STREAM,Farmington,Franklin,-70.1580331081102,44.66128665219522
CLEARWATER P,Industry,Franklin,-70.088039874,44.7290234725
MUDDY B,Industry,Franklin,-70.07988721965873,44.713612967719
GREENBUSH P,Jim Pond Twp,Franklin,-70.521035841,45.249117457
JIM P (BIG),Jim Pond Twp,Franklin,-70.5057229492,45.2645622418
JIM P (LITTLE),Jim Pond Twp,Franklin,-70.4581584161,45.2854453248
TEA P,Jim Pond Twp,Franklin,-70.5260933997,45.2328803852
TEA P (LITTLE),Jim Pond Twp,Franklin,-70.5398107426,45.2386365395
VILES P (LITTLE),Jim Pond Twp,Franklin,-70.5409326818,45.2821719741
HURRICANE P,Kibby Twp,Franklin,-70.5037145553,45.3619690309
CARRABASSETT R,Kingfield,Franklin,-70.14399946161653,44.95018833122257
DUTTON (SHILOH) P,Kingfield,Franklin,-70.2074371926,45.0125770755
GRINDSTONE P,Kingfield,Franklin,-70.2045931839,45.003063217
PINNACLE P,Kingfield,Franklin,-70.172424673,44.9657090487
DEAD R (SOUTH BRANCH),Lang Twp,Franklin,-70.54450583359407,45.07993363744264
INDIAN P (BIG),Lowelltown Twp,Franklin,-70.6082815004356,45.54434541622695
BEAL (TROUT) P,Madrid,Franklin,-70.409544723,44.9031908453
HARVEY P,Madrid,Franklin,-70.5026922303,44.855172298
SANDY R,Madrid,Franklin,-70.4179265712517,44.85626302909893
CROWELL P,New Sharon,Franklin,-70.03672195004138,44.59167664836191
SANDY R,New Sharon,Franklin,-70.02598246869023,44.64041005191013
HILLS P,Perkins Twp,Franklin,-70.3511656092,44.6684368576
LONG COVE P,Phillips,Franklin,-70.3858001674,44.8666519735
LUFKIN P,Phillips,Franklin,-70.4631291115,44.8402269503
SANDY R,Phillips,Franklin,-70.33531477338505,44.82197379614785
STETSON P,Phillips,Franklin,-70.4772168424,44.8484554034
TOOTHAKER P,Phillips,Franklin,-70.3965591863,44.8687763178
DODGE P,Rangeley,Franklin,-70.7051562725,44.9803991818
HALEY B,Rangeley,Franklin,-70.6990443013,44.9456043281
HALEY P,Rangeley,Franklin,-70.7478171919,44.9833839493
QUIMBY P,Rangeley,Franklin,-70.7419594666,44.9887872583
RANGELEY GUIDES P,Rangeley,Franklin,-70.7770695263,44.9616917609
RANGELEY L,Rangeley,Franklin,-70.6990443013,44.9456043281
ROUND P,Rangeley,Franklin,-70.718023847,44.9980915392
EDDY P,Sandy River Plt,Franklin,-70.5254383182,44.9186674169
LEDGE P,Sandy River Plt,Franklin,-70.5379425495,44.9134368832
MIDWAY P,Sandy River Plt,Franklin,-70.5418403821,44.9312299055
ROCK P,Sandy River Plt,Franklin,-70.5379108647,44.9362032297
SANDY RIVER P (MIDDLE),Sandy River Plt,Franklin,-70.5552810722,44.8973519228
SOUTH (PINE TREE) P,Sandy River Plt,Franklin,-70.5573917867,44.8678494095
PORTER L,Strong,Franklin,-70.1503987806,44.8116906418
SANDY R,Strong,Franklin,-70.2324529501,44.7983783739
TEMPLE STREAM,Temple,Franklin,-70.26966872474631,44.72718296005801
MUD POND,Township 6 North of Weld,Franklin,-70.4875736633,44.8446261915
TUMBLEDOWN P,Township 6 North of Weld,Franklin,-70.5424433913,44.749832113
BEAVER P,Township D,Franklin,-70.6880778172,44.8124272673
MOXIE P,Township D,Franklin,-70.6857780468,44.845450308
SPENCER P,Township D,Franklin,-70.6882307383,44.821857157
LONG P,Township E,Franklin,-70.089434,45.626023
ROUND P,Township E,Franklin,-70.672010146,44.8337242275
SWIFT RIVER P,Township E,Franklin,-70.5924539238,44.8412653786
WEBB L,Weld,Franklin,-70.4460860716,44.6947726586
VARNUM P,Wilton,Franklin,-70.2448149631,44.6527082126
WILSON P,Wilton,Franklin,-70.2480322472,44.5962607013
WILSON STREAM,Wilton,Franklin,-70.21910267455189,44.5902911355742
THE HORNS P,Wyman Twp,Franklin,-70.3315154945,45.1446914916
DUCKTAIL P,Amherst,Hancock,-68.3945769096,44.8592850709
PARTRIDGE P,Amherst,Hancock,-68.4038348929,44.8605119139
TROUT P,Amherst,Hancock,-68.4212468151,44.8809683526
BRANCH P (UPPER MIDDLE),Aurora,Hancock,-68.2250139402,44.8976312865
BREAKNECK P (LOWER),Bar Harbor,Hancock,-68.2564710447,44.3898227277
BREAKNECK P (UPPER),Bar Harbor,Hancock,-68.2556365578,44.3861610122
BUBBLE P,Bar Harbor,Hancock,-68.2390930971,44.3450060224
EAGLE L,Bar Harbor,Hancock,-68.2505568034,44.3627907443
HALFMOON P,Bar Harbor,Hancock,-68.2515545592,44.3906741611
LAKE WOOD,Bar Harbor,Hancock,-68.2685029534,44.4078446458
WITCH HOLE P,Bar Harbor,Hancock,-68.2431147546,44.3999549965
WALKER P,Brooksville,Hancock,-68.6941070312,44.330957267
HANCOCK P,Bucksport,Hancock,-68.7040514845,44.6253903725
JACOB BUCK P,Bucksport,Hancock,-68.7446403721,44.6459991082
GREEN L,Dedham,Hancock,-68.492213,44.645626
PHILLIPS (LUCERNE) L,Dedham,Hancock,-68.6033514534,44.6932104729
LILY P,Deer Isle,Hancock,-68.6676198899,44.2300005236
MOLASSES P,Eastbrook,Hancock,-68.2161048522,44.6780455361
BRANCH L,Ellsworth,Hancock,-68.5594480491,44.5948872736
GREEN L,Ellsworth,Hancock,-68.4952671287,44.6478731631
LITTLE P,Franklin,Hancock,-68.1700588993,44.576291781
JONES P,Gouldsboro,Hancock,-68.0805083572,44.4557427958
GREAT P,Great Pond,Hancock,-68.3008484886,44.9621515777
KING P,Great Pond,Hancock,-68.2597102023,44.9402793023
LONG P,Great Pond,Hancock,-68.2681398647,44.9182374381
SIMMONS P,Hancock,Hancock,-68.3878446952,44.5580546599
HOPKINS P,Mariaville,Hancock,-68.4519930045,44.7900042603
ECHO L,Mount Desert,Hancock,-68.3375013538,44.3289005534
HADLOCK P (LOWER),Mount Desert,Hancock,-68.2894115519,44.3104061435
HADLOCK P (UPPER),Mount Desert,Hancock,-68.2873498442,44.3215711603
JORDAN P,Mount Desert,Hancock,-68.2552200317,44.332699302
LONG (GREAT) P,Mount Desert,Hancock,-68.2569867003,44.299394622
ROUND P,Mount Desert,Hancock,-68.3778552441,44.3536276102
DUCK L,Oqiton Twp,Hancock,-68.0983272799,45.1522297723
SELMORE (KILLMAN) P,Oqiton Twp,Hancock,-68.0462526952,45.1964969406
CRAIG P,Orland,Hancock,-68.6673928221,44.5831896459
HEART P,Orland,Hancock,-68.6622027899,44.5680986796
ORLAND R,Orland,Hancock,-68.74381614298511,44.5741587523695
TODDY P,Orland,Hancock,-68.597835494,44.5881424764
BEECH HILL P,Otis,Hancock,-68.4601431052,44.6899817531
FLOODS P,Otis,Hancock,-68.494068,44.740207
SPRINGY P (LOWER),Otis,Hancock,-68.4896081442,44.7561918435
YOUNGS P,Otis,Hancock,-68.4474744331,44.7166344398
LONG (GREAT) P,Southwest Harbor,Hancock,-68.3007808985,44.2427099003
FLANDERS P,Sullivan,Hancock,-68.1345859728,44.5460661471
LONG P,Sullivan,Hancock,-68.1700728138,44.533878682
QUARRY P,Sullivan,Hancock,-68.2323083344,44.5450434807
PATTEN P (LOWER),Surry,Hancock,-68.55063132146557,44.54334988353266
TODDY P,Surry,Hancock,-68.6209273239,44.5287877934
ANDERSON P,T10 SD,Hancock,-68.0593219249,44.6475632852
FOX P,T10 SD,Hancock,-68.1122202386,44.6259097093
LONG P,T10 SD,Hancock,-68.0176961418,44.6000943314
LONG P (LITTLE),T10 SD,Hancock,-68.0775500806,44.6379655944
RAINBOW P,T10 SD,Hancock,-68.0989829203,44.6036655492
SALMON P,T10 SD,Hancock,-68.084909334,44.6328979516
SPRING RIVER L,T10 SD,Hancock,-68.0507167879,44.6210685281
TILDEN P,T10 SD,Hancock,-68.0719094137,44.6350938388
TUNK L,T10 SD,Hancock,-68.0712003657,44.5857664975
LEAD MTN P (LO & MD),T28 MD,Hancock,-68.1769901827,44.8544392017
LEAD MTN P (UPPER),T28 MD,Hancock,-68.1402812583,44.8522287561
WILLIAMS P,T28 MD,Hancock,-68.1501583358,44.9138595062
NICATOUS STREAM,T3 ND,Hancock,-68.259049,45.209818
SIDE PISTOL L,T3 ND,Hancock,-68.1680148541,45.1855381813
SPRING L,T3 ND,Hancock,-68.2109615103,45.2123180768
WEST L,T3 ND,Hancock,-68.1952819302,45.114448988
PICKEREL P,T32 MD,Hancock,-68.454651909,44.9732921362
TITCOMB P,T32 MD,Hancock,-68.4390135232,44.9322593468
LOVEJOY P,T34 MD,Hancock,-68.126525426,44.9566224991
BURNT LAND L,T35 MD,Hancock,-68.0362146464,45.0202035178
CRYSTAL P,T40 MD,Hancock,-68.1918426798,45.0309261282
LOON P,T40 MD,Hancock,-68.1990195239,45.0376521233
NICATOUS L,T40 MD,Hancock,-68.143926885,45.0862405176
OXHEAD P (MIDDLE),T40 MD,Hancock,-68.235669785,45.0855212408
OXHEAD P (UPPER),T40 MD,Hancock,-68.254365154,45.0822530475
TROUT P,T40 MD,Hancock,-68.2271477508,45.0592176549
DONNELL P,T9 SD,Hancock,-68.1509173668,44.5972787962
SEAL COVE P,Tremont,Hancock,-68.3970278216,44.3022218458
BIRCH HARBOR P,Winter Harbor,Hancock,-68.0627822828,44.3916812513
LOVEJOY P,Albion,Kennebec,-69.470231,44.519951
SAM ASSOCIATION P (LOWER SMALL),Augusta,Kennebec,-69.71975582128444,44.33485179069713
SAM ASSOCIATION P (UPPER BIG),Augusta,Kennebec,-69.71384097107371,44.33881642856996
TOGUS P,Augusta,Kennebec,-69.6581192043,44.3244522409
TOGUS VA HOSPITAL,Augusta,Kennebec,-69.70282384329866,44.28130883793589
BELGRADE STREAM,Belgrade,Kennebec,-69.83577065661841,44.43986394475647
GREAT P,Belgrade,Kennebec,-69.847151,44.544012
LONG P,Belgrade,Kennebec,-69.915569,44.49485
MESSALONSKEE L,Belgrade,Kennebec,-69.789116,44.475362
SALMON L (ELLIS P),Belgrade,Kennebec,-69.78006542888,44.53588874639909
CHINA L,China,Kennebec,-69.5473149655,44.4302543059
THREEMILE P,China,Kennebec,-69.6045601018,44.366698339
SEBASTICOOK R,Clinton,Kennebec,-69.2380079601,44.8580693805
BASIN P,Fayette,Kennebec,-70.05241,44.457782
ECHO L (CROTCHED P),Fayette,Kennebec,-70.03845014926326,44.425307536108875
MOSHER P,Fayette,Kennebec,-70.106222,44.478029
COBBOSSEECONTEE STREAM,Gardiner,Kennebec,-69.79067592460733,44.22035123793128
DENNIS B,Litchfield,Kennebec,-69.933044,44.188421
LITCHFIELD SPORTSMAN CLUB P,Litchfield,Kennebec,-69.9437181953,44.1648390141
POTTERS B,Litchfield,Kennebec,-69.913042,44.153416
WOODBURY P,Litchfield,Kennebec,-69.951820264,44.1988217135
COBBOSSEECONTEE L,Manchester,Kennebec,-69.930096,44.270858
FAIRBANKS P,Manchester,Kennebec,-69.8302213184,44.389617745
JAMIES (JIMMIE) P,Manchester,Kennebec,-69.8579593621,44.2806746329
TYLER P,Manchester,Kennebec,-69.8244401784,44.3850064985
ANNABESSACOOK L,Monmouth,Kennebec,-69.979887,44.269616
COBBOSSEECONTEE L,Monmouth,Kennebec,-69.94572327898382,44.25424205428169
COCHNEWAGON P,Monmouth,Kennebec,-70.0443626454,44.2314064352
JUG STREAM,Monmouth,Kennebec,-69.97918700512999,44.23818056546247
MONMOUTH SPORTSMAN CLUB P,Monmouth,Kennebec,-70.06343171984197,44.25283652510234
SAND P (TACOMA LKS),Monmouth,Kennebec,-69.9697590009,44.1809485919
WILSON STREAM,Monmouth,Kennebec,-70.02019373306774,44.26705811206979
INGHAM P,Mount Vernon,Kennebec,-69.927233,44.453568
MINNEHONK L,Mount Vernon,Kennebec,-69.9892155244,44.4956000503
PARKER P,Mount Vernon,Kennebec,-70.0314957417,44.494227669
TORSEY P,Mount Vernon,Kennebec,-69.981433,44.427988
MCGRATH P,Oakland,Kennebec,-69.7661272315,44.5556962471
MESSALONSKEE L,Oakland,Kennebec,-69.7891694864,44.4791828118
MESSALONSKEE STREAM,Oakland,Kennebec,-69.68269551678199,44.56994242921453
LONG P,Rome,Kennebec,-69.89915490688855,44.54689912365781
NORTH P,Rome,Kennebec,-69.842381,44.622996
NORTH P (LITTLE),Rome,Kennebec,-69.842381,44.622996
GOULD P,Sidney,Kennebec,-69.8268409459,44.3986125686
MESSALONSKEE L,Sidney,Kennebec,-69.7891694864,44.4791828118
SILVER L,Sidney,Kennebec,-69.8245517647,44.3936340887
CHINA L,Vassalboro,Kennebec,-69.57950870092802,44.446119928787496
SPECTACLE P,Vassalboro,Kennebec,-69.6725143191,44.3725902886
FLYING P,Vienna,Kennebec,-69.9926443564,44.5214883714
KIMBALL P,Vienna,Kennebec,-69.9879081143,44.5771865569
MESSALONSKEE STREAM,Waterville,Kennebec,-69.64078897790834,44.55180186647602
WILSON P,Wayne,Kennebec,-70.047878,44.29544
SAVADE P,Windsor,Kennebec,-69.5350600761,44.31869003
BERRY P,Winthrop,Kennebec,-70.023651,44.332901
COBBOSEECONTEE L (LITTLE),Winthrop,Kennebec,-69.886033,44.32845
MARANACOOK L,Winthrop,Kennebec,-69.9503468634,44.341146209
NARROWS P (LOWER),Winthrop,Kennebec,-69.95179,44.290317
NARROWS P (UPPER),Winthrop,Kennebec,-69.9446934523,44.3061354435
WAYNE F&G CLUB P,Winthrop,Kennebec,-70.00227655658544,44.30711514976116
SAINT GEORGE R,Appleton,Knox,-69.24995664880144,44.28744522652495
SENNEBEC P,Appleton,Knox,-69.2652316273,44.2531925254
GOOSE R,Camden,Knox,-69.12072020301204,44.211082698147194
HOSMER P,Camden,Knox,-69.1282374835,44.2143684389
MEGUNTICOOK R,Camden,Knox,-69.07625915068205,44.21450172105819
ALFORD L,Hope,Knox,-69.2150038012,44.2370521122
HOBBS P,Hope,Knox,-69.1670818583,44.249118422
LONG P (TURNERS L),Isle Au Haut,Knox,-68.6119381279,44.038338659
FRESH P,North Haven,Knox,-68.852875,44.158373
CHICKAWAUKIE P,Rockland,Knox,-69.1137028273,44.1404082058
MACES P,Rockport,Knox,-69.1216015991,44.1678407344
ROCKY P,Rockport,Knox,-69.1293366327,44.1768609833
TOLMAN P,Rockport,Knox,-69.1491348101,44.174434744
SAINT GEORGE R,Union,Knox,-69.27929586528737,44.228456528949295
